time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-03T08:48:29.740Z,-41.7317,79.9602,10,6.3,mww,,17,4.34,1.15,us,usc000stlt,2014-12-10T09:17:27.871Z,"Mid-Indian Ridge",earthquake
2014-11-02T17:17:04.410Z,-61.2203,154.2778,10,6,mww,,42,7.185,0.91,us,usc000stig,2014-12-08T18:10:58.205Z,"Balleny Islands region",earthquake
2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434,7.1,mww,,13,4.415,0.84,us,usc000stdc,2014-12-17T16:23:17.211Z,"144km NE of Ndoi Island, Fiji",earthquake
2014-11-01T10:59:54.610Z,-31.852,-111.2436,10,6,mww,,36,4.994,0.98,us,usc000stbw,2014-12-10T11:55:48.216Z,"Easter Island region",earthquake
2014-10-28T03:15:37.950Z,-15.2954,-174.6752,8,6,mww,,45,5.892,0.55,us,usb000sr1a,2014-12-09T22:59:50.605Z,"122km NW of Hihifo, Tonga",earthquake
2014-10-14T03:51:34.460Z,12.5262,-88.1225,40,7.3,mww,,18,1.078,0.7,us,usb000slwn,2015-01-28T09:32:42.005Z,"74km S of Intipuca, El Salvador",earthquake
2014-10-11T02:35:47.480Z,41.0272,143.1649,22,6.1,mww,,28,0.987,0.72,us,usb000skys,2015-01-30T12:45:23.025Z,"152km ENE of Hachinohe, Japan",earthquake
2014-10-09T02:32:05.140Z,-32.0953,-110.8647,10,6.6,mww,,32,5.127,0.43,us,usb000sk6q,2014-11-05T05:59:52.519Z,"Southern East Pacific Rise",earthquake
2014-10-09T02:14:31.440Z,-32.1082,-110.8112,16.54,7,mww,,22,5.127,0.43,us,usb000sk6k,2014-12-31T05:55:33.262Z,"Southern East Pacific Rise",earthquake
2014-10-08T02:40:53.110Z,23.8441,-108.3311,10,6.1,mww,,50,1.868,0.32,us,usb000sjt0,2015-01-30T20:50:09.138Z,"111km WSW of El Dorado, Mexico",earthquake
2014-10-07T13:49:39.720Z,23.3834,100.4702,8.51,6.1,mww,,23,2.7,0.8,us,usb000sjim,2015-01-30T04:32:09.777Z,"23km WSW of Weiyuan, China",earthquake
2014-10-01T03:38:51.760Z,-6.0706,149.5329,42,6,mww,,19,3.217,0.61,us,usb000shl2,2014-11-17T00:30:52.767Z,"16km N of Kandrian, Papua New Guinea",earthquake
2014-09-25T17:51:17.000Z,61.9449,-151.8159,108.9,6.2,ml,,,,1.02,ak,ak11401855,2015-01-28T05:14:53.350Z,"96km WNW of Willow, Alaska",earthquake
2014-09-25T09:13:50.000Z,-9.4618,156.4122,4,6.1,mww,,21,3.488,1.25,us,usb000sftz,2014-11-10T06:51:35.537Z,"157km SSW of Gizo, Solomon Islands",earthquake
2014-09-24T11:16:15.010Z,-23.8009,-66.6321,224,6.2,mww,,25,2.407,1.19,us,usb000sfj5,2015-01-30T12:38:59.539Z,"56km NW of San Antonio de los Cobres, Argentina",earthquake
2014-09-17T06:14:45.410Z,13.7641,144.4294,130,6.7,mww,,11,0.46,0.84,us,usb000sdcr,2015-01-28T16:56:39.935Z,"43km NW of Piti Village, Guam",earthquake
2014-09-10T02:46:06.430Z,-0.2422,125.104,35,6.2,mww,,28,2.463,0.52,us,usb000say6,2014-10-27T20:57:23.289Z,"132km SE of Modayag, Indonesia",earthquake
2014-09-06T19:22:59.040Z,18.7529,-107.0488,17,6.2,mww,,85,5.572,0.81,us,usb000sa0z,2014-10-17T22:10:41.303Z,"229km SW of Tomatlan, Mexico",earthquake
